41640,53.88,5389
41640.04,43.75,5199
41640.08,50,4998
41640.13,44.36,4856
41640.17,45.18,4752
41640.21,47.21,4780
41640.25,56.28,4870
41640.29,54.57,4956
41640.33,53.03,5047
41640.38,56.98,5185
41640.42,58.64,5370
41640.46,61.3,5502
41640.5,58.84,5629
41640.54,56.31,5695
41640.58,53.83,5724
41640.63,56.28,5751
41640.67,76.53,5881
41640.71,123.49,6169
41640.75,114.59,6219
41640.79,91.27,6164
41640.83,83.97,6100
41640.88,73.17,5979
41640.92,57.04,5771
41640.96,58.25,5478
41641,52.27,5210
41641.04,50.53,4958
41641.08,56.74,4775
41641.13,55.94,4693
41641.17,61.7,4707
41641.21,62.13,4909
41641.25,128.76,5354
41641.29,161.91,5860
41641.33,137.95,6200
41641.38,165.02,6459
41641.42,166.91,6603
41641.46,180.5,6684
41641.5,181.51,6727
41641.54,169.37,6731
41641.58,166.57,6725
41641.63,154.88,6706
41641.67,187.09,6826
41641.71,260.63,7059
41641.75,223.96,6965
41641.79,204.33,6804
41641.83,191.67,6619
41641.88,176.02,6395
41641.92,122.11,6101
41641.96,72.88,5698
41642,111.35,5279
41642.04,105.47,5059
41642.08,111.36,4897
41642.13,104.11,4833
41642.17,98.37,4878
41642.21,133.28,5147
41642.25,167.88,5698
41642.29,199.77,6330
41642.33,175,6757
41642.38,186.28,7048
41642.42,191,7212
41642.46,186.76,7309
41642.5,184.09,7336
41642.54,186.06,7317
41642.58,184.09,7257
41642.63,182.61,7213
41642.67,222.59,7313
41642.71,296.58,7567
41642.75,274.82,7472
41642.79,234.51,7262
41642.83,196.55,7039
41642.88,190.4,6789
41642.92,186.27,6500
41642.96,176.34,6093
41643,168.42,5805
41643.04,157.27,5537
41643.08,154.54,5333
41643.13,150.24,5240
41643.17,153.53,5150
41643.21,158.01,5123
41643.25,188.61,5309
41643.29,176.26,5706
41643.33,189.21,6034
41643.38,209.56,6324
41643.42,206.2,6489
41643.46,191.35,6563
41643.5,174.84,6536
41643.54,167.5,6459
41643.58,150.22,6366
41643.63,153.6,6275
41643.67,196.23,6370
41643.71,252.17,6722
41643.75,213.96,6771
41643.79,192.98,6691
41643.83,182.67,6557
41643.88,166.08,6395
41643.92,148.5,6203
41643.96,138.71,5893
41644,118.52,5415
41644.04,111.43,5167
41644.08,109.16,4980
41644.13,101.94,4896
41644.17,99.69,4818
41644.21,97.85,4762
41644.25,106.88,4872
41644.29,88.07,5141
41644.33,89.71,5414
41644.38,125.17,5684
41644.42,124.58,5875
41644.46,121.3,5985
41644.5,111.34,6031
41644.54,103.64,6033
41644.58,98.83,6015
41644.63,92.74,5994
41644.67,110,6112
41644.71,172.57,6358
41644.75,147.57,6364
